identifier	text	seq	syn	dep_left	dep_right	chunk
live	inhabit or live in.	['inhabit', 'or', 'live', 'in', '.']	[['inhabit', 'or', ['live', 'in']], '.']	['inhabit', 'or', 'live', 'in', '.']	['or', 'live', 'in', '.', 'inhabit']	['inhabit', 'or', 'live', 'in', '.']
lizard	relatively long-bodied reptile with usually two pairs of legs and a tapering tail.	['relatively', 'long-bodied', 'reptile', 'with', 'usually', 'two', 'pairs', 'of', 'legs', 'and', 'a', 'tapering', 'tail', '.']	[['relatively', 'long-bodied', 'reptile'], ['with', [['usually', 'two', 'pairs'], ['of', ['legs', 'and', ['a', 'tapering', 'tail']]]]], '.']	['reptile', ['long-bodied', 'relatively'], ['pairs', 'with', ['two', 'usually'], ['legs', 'of'], 'and', ['tail', 'a', 'tapering']], '.']	[['relatively', 'long-bodied'], ['with', ['usually', 'two'], ['of', 'legs'], 'and', ['a', 'tapering', 'tail'], 'pairs'], '.', 'reptile']	[['relatively', 'long', '-', 'bodied', 'reptile'], 'with', ['usually', 'two', 'pairs'], 'of', 'legs', 'and', ['a', 'tapering', 'tail'], '.']
lock	a fastener fitted to a door or drawer to keep it firmly closed.	['a', 'fastener', 'fitted', 'to', 'a', 'door', 'or', 'drawer', 'to', 'keep', 'it', 'firmly', 'closed', '.']	[['a', 'fastener'], ['fitted', ['to', ['a', 'door', 'or', 'drawer']], ['to', ['keep', ['it', 'firmly', 'closed']]]], '.']	['fitted', ['fastener', 'a'], ['door', 'to', 'a', 'or', 'drawer'], ['keep', 'to', ['closed', 'it', 'firmly']], '.']	[['a', 'fastener'], ['to', 'a', 'or', 'drawer', 'door'], ['to', ['it', 'firmly', 'closed'], 'keep'], '.', 'fitted']	[['a', 'fastener'], 'fitted', 'to', ['a', 'door'], 'or', 'drawer', 'to', 'keep', 'it', 'firmly', 'closed', '.']
locomotive	a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks.	['a', 'wheeled', 'vehicle', 'consisting', 'of', 'a', 'self-propelled', 'engine', 'that', 'is', 'used', 'to', 'draw', 'trains', 'along', 'railway', 'tracks', '.']	[[['a', 'wheeled', 'vehicle'], 'consisting'], ['of', [['a', 'self-propelled', 'engine'], ['that', ['is', ['used', ['to', ['draw', ['trains', ['along', ['railway', 'tracks']]]]]]]]]], '.']	['vehicle', 'a', 'wheeled', ['consisting', ['engine', 'of', 'a', 'self-propelled', ['used', 'that', 'is', ['draw', 'to', 'trains', ['tracks', 'along', 'railway']]]]], '.']	['a', 'wheeled', [['of', 'a', 'self-propelled', ['that', 'is', ['to', 'trains', ['along', 'railway', 'tracks'], 'draw'], 'used'], 'engine'], 'consisting'], '.', 'vehicle']	[['a', 'wheeled', 'vehicle'], 'consisting', 'of', ['a', 'self', '-', 'propelled', 'engine'], 'that', 'is', 'used', 'to', 'draw', 'trains', 'along', ['railway', 'tracks'], '.']
love	a strong positive emotion of regard and affection.	['a', 'strong', 'positive', 'emotion', 'of', 'regard', 'and', 'affection', '.']	[['a', 'strong', 'positive', 'emotion'], ['of', ['regard', 'and', 'affection']], '.']	['emotion', 'a', 'strong', 'positive', ['regard', 'of', 'and', 'affection'], '.']	['a', 'strong', 'positive', ['of', 'and', 'affection', 'regard'], '.', 'emotion']	[['a', 'strong', 'positive', 'emotion'], 'of', 'regard', 'and', 'affection', '.']
lunch	a midday meal.	['a', 'midday', 'meal', '.']	[['a', 'midday'], 'meal', '.']	['meal', 'a', 'midday', '.']	['a', 'midday', '.', 'meal']	[['a', 'midday', 'meal'], '.']
mac	a waterproof raincoat made of rubberized fabric.	['a', 'waterproof', 'raincoat', 'made', 'of', 'rubberized', 'fabric', '.']	[['a', 'waterproof', 'raincoat'], ['made', ['of', ['rubberized', 'fabric']]], '.']	['raincoat', 'a', 'waterproof', ['made', ['fabric', 'of', 'rubberized']], '.']	['a', 'waterproof', [['of', 'rubberized', 'fabric'], 'made'], '.', 'raincoat']	[['a', 'waterproof', 'raincoat'], 'made', 'of', ['rubberized', 'fabric'], '.']
machine	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks.	['any', 'mechanical', 'or', 'electrical', 'device', 'that', 'transmits', 'or', 'modifies', 'energy', 'to', 'perform', 'or', 'assist', 'in', 'the', 'performance', 'of', 'human', 'tasks', '.']	[[['any', 'mechanical', 'or', 'electrical', 'device'], ['that', ['transmits', 'or', 'modifies']]], ['energy', ['to', ['perform', 'or', 'assist', ['in', [['the', 'performance'], ['of', ['human', 'tasks']]]]]]], '.']	['device', 'any', ['mechanical', 'or', 'electrical'], ['transmits', 'that', 'or', 'modifies', 'energy', ['perform', 'to', 'or', 'assist', ['performance', 'in', 'the', ['tasks', 'of', 'human']]]], '.']	['any', ['or', 'electrical', 'mechanical'], ['that', 'or', 'modifies', 'energy', ['to', 'or', 'assist', ['in', 'the', ['of', 'human', 'tasks'], 'performance'], 'perform'], 'transmits'], '.', 'device']	[['any', 'mechanical', 'or', 'electrical', 'device'], 'that', 'transmits', 'or', 'modifies', 'energy', 'to', 'perform', 'or', 'assist', 'in', ['the', 'performance'], 'of', ['human', 'tasks'], '.']
magazine	a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it.	['a', 'periodic', 'publication', 'containing', 'pictures', 'and', 'stories', 'and', 'articles', 'of', 'interest', 'to', 'those', 'who', 'purchase', 'it', 'or', 'subscribe', 'to', 'it', '.']	[['a', 'periodic', 'publication'], ['containing', ['pictures', 'and', [['stories', 'and', 'articles'], ['of', 'interest']]], ['to', ['those', ['who', [['purchase', 'it'], 'or', ['subscribe', ['to', 'it']]]]]]], '.']	['publication', 'a', 'periodic', ['containing', ['pictures', 'and', 'stories', 'and', ['articles', ['interest', 'of']]], ['those', 'to', ['purchase', 'who', 'it', 'or', ['subscribe', ['it', 'to']]]]], '.']	['a', 'periodic', [['and', 'stories', 'and', [['of', 'interest'], 'articles'], 'pictures'], ['to', ['who', 'it', 'or', [['to', 'it'], 'subscribe'], 'purchase'], 'those'], 'containing'], '.', 'publication']	[['a', 'periodic', 'publication'], 'containing', 'pictures', 'and', 'stories', 'and', 'articles', 'of', 'interest', 'to', 'those', 'who', 'purchase', 'it', 'or', 'subscribe', 'to', 'it', 'or', 'subscribe', 'to', 'it', '.']
makeup	cosmetics applied to the face to improve or change your appearance.	['cosmetics', 'applied', 'to', 'the', 'face', 'to', 'improve', 'or', 'change', 'your', 'appearance', '.']	['cosmetics', ['applied', ['to', ['the', 'face']], ['to', ['improve', 'or', 'change', ['your', 'appearance']]]], '.']	['applied', 'cosmetics', ['face', 'to', 'the'], ['improve', 'to', 'or', 'change', ['appearance', 'your']], '.']	['cosmetics', ['to', 'the', 'face'], ['to', 'or', 'change', ['your', 'appearance'], 'improve'], '.', 'applied']	['cosmetics', 'applied', 'to', ['the', 'face'], 'to', 'improve', 'or', 'change', ['your', 'appearance'], '.']
male	an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova).	['an', 'animal', 'that', 'produces', 'gametes', '(', 'spermatozoa', ')', 'that', 'can', 'fertilize', 'female', 'gametes', '(', 'ova', ')', '.']	['an', 'animal', ['that', ['produces', ['gametes', ['-LRB-', 'spermatozoa', '-RRB-'], ['that', ['can', ['fertilize', [['female', 'gametes'], ['-LRB-', 'ova', '-RRB-']]]]]]]], '.']	['animal', 'an', ['produces', 'that', ['gametes', ['spermatozoa', '-LRB-', '-RRB-'], ['fertilize', 'that', 'can', ['gametes', 'female', ['ova', '-LRB-', '-RRB-']]]]], '.']	['an', ['that', [['-LRB-', '-RRB-', 'spermatozoa'], ['that', 'can', ['female', ['-LRB-', '-RRB-', 'ova'], 'gametes'], 'fertilize'], 'gametes'], 'produces'], '.', 'animal']	[['an', 'animal'], 'that', 'produces', 'gametes', '(', 'spermatozoa', ')', 'that', 'can', 'fertilize', ['female', 'gametes'], '(', 'ova', ')', '.']
mallard	wild dabbling duck from which domestic ducks are descended.	['wild', 'dabbling', 'duck', 'from', 'which', 'domestic', 'ducks', 'are', 'descended', '.']	['wild', ['dabbling', 'duck', ['from', ['which', [['domestic', 'ducks'], ['are', 'descended']]]]], '.']	['duck', 'wild', 'dabbling', ['descended', ['which', 'from'], ['ducks', 'domestic'], 'are'], '.']	['wild', 'dabbling', [['from', 'which'], ['domestic', 'ducks'], 'are', 'descended'], '.', 'duck']	[['wild', 'dabbling', 'duck'], 'from', 'which', ['domestic', 'ducks'], 'are', 'descended', '.']
mammal	any warm-blooded vertebrate having the skin more or less covered with hair.	['any', 'warm-blooded', 'vertebrate', 'having', 'the', 'skin', 'more', 'or', 'less', 'covered', 'with', 'hair', '.']	[[['any', 'warm-blooded', 'vertebrate'], ['having', ['the', 'skin']]], ['more', 'or', 'less'], ['covered', ['with', 'hair']], '.']	['vertebrate', 'any', 'warm-blooded', ['having', ['covered', ['skin', 'the'], ['more', 'or', 'less'], ['hair', 'with']]], '.']	['any', 'warm-blooded', [[['the', 'skin'], ['or', 'less', 'more'], ['with', 'hair'], 'covered'], 'having'], '.', 'vertebrate']	[['any', 'warm', '-', 'blooded', 'vertebrate'], 'having', ['the', 'skin'], 'more', 'or', 'less', 'covered', 'with', 'hair', '.']
man	an adult person who is male (as opposed to a woman).	['an', 'adult', 'person', 'who', 'is', 'male', '(', 'as', 'opposed', 'to', 'a', 'woman', ')', '.']	[[[['an', 'adult', 'person'], ['who', ['is', 'male']]], ['-LRB-', ['as', ['opposed', ['to', ['a', 'woman']]]], '-RRB-']], '.']	['person', 'an', 'adult', ['male', 'who', 'is', ['opposed', '-LRB-', 'as', ['woman', 'to', 'a'], '-RRB-']], '.']	['an', 'adult', ['who', 'is', ['-LRB-', 'as', ['to', 'a', 'woman'], '-RRB-', 'opposed'], 'male'], '.', 'person']	[['an', 'adult', 'person'], 'who', 'is', 'male', '(', 'as', 'opposed', 'to', ['a', 'woman'], ')', '.']
mannequin	a woman who wears clothes to display fashions.	['a', 'woman', 'who', 'wears', 'clothes', 'to', 'display', 'fashions', '.']	['a', 'woman', ['who', ['wears', ['clothes', ['to', ['display', 'fashions']]]]], '.']	['woman', 'a', ['wears', 'who', 'clothes', ['display', 'to', 'fashions']], '.']	['a', ['who', 'clothes', ['to', 'fashions', 'display'], 'wears'], '.', 'woman']	[['a', 'woman'], 'who', 'wears', 'clothes', 'to', 'display', 'fashions', '.']
map	a diagrammatic representation of the earth's surface (or part of it).	"['a', 'diagrammatic', 'representation', 'of', 'the', 'earth', ""'s"", 'surface', '(', 'or', 'part', 'of', 'it', ')', '.']"	"[['a', 'diagrammatic', 'representation'], ['of', [[['the', 'earth', ""'s""], 'surface'], ['-LRB-', 'or', ['part', ['of', 'it']], '-RRB-']]], '.']"	"['representation', 'a', 'diagrammatic', ['surface', 'of', ['earth', 'the', ""'s""], ['part', '-LRB-', 'or', ['it', 'of'], '-RRB-']], '.']"	"['a', 'diagrammatic', ['of', ['the', ""'s"", 'earth'], ['-LRB-', 'or', ['of', 'it'], '-RRB-', 'part'], 'surface'], '.', 'representation']"	"[['a', 'diagrammatic', 'representation'], 'of', ['the', 'earth', ""'s"", 'surface'], '(', 'or', 'part', 'of', 'it', ')', '.']"
maple	wood of any of various maple trees.	['wood', 'of', 'any', 'of', 'various', 'maple', 'trees', '.']	['wood', ['of', 'any'], ['of', ['various', 'maple', 'trees']], '.']	['wood', ['any', 'of', ['trees', 'of', 'various', 'maple']], '.']	[['of', ['of', 'various', 'maple', 'trees'], 'any'], '.', 'wood']	['wood', 'of', 'any', 'of', ['various', 'maple', 'trees'], '.']
marble	a hard crystalline metamorphic rock that takes a high polish.	['a', 'hard', 'crystalline', 'metamorphic', 'rock', 'that', 'takes', 'a', 'high', 'polish', '.']	[[['a', 'hard', 'crystalline', 'metamorphic', 'rock'], ['that', ['takes', ['a', 'high', 'polish']]]], '.']	['rock', 'a', 'hard', 'crystalline', 'metamorphic', ['takes', 'that', ['polish', 'a', 'high']], '.']	['a', 'hard', 'crystalline', 'metamorphic', ['that', ['a', 'high', 'polish'], 'takes'], '.', 'rock']	[['a', 'hard', 'crystalline', 'metamorphic', 'rock'], 'that', 'takes', ['a', 'high', 'polish'], '.']
market	the world of commercial activity where goods and services are bought and sold.	['the', 'world', 'of', 'commercial', 'activity', 'where', 'goods', 'and', 'services', 'are', 'bought', 'and', 'sold', '.']	[['the', 'world'], ['of', [['commercial', 'activity'], ['where', [['goods', 'and', 'services'], ['are', ['bought', 'and', 'sold']]]]]], '.']	['world', 'the', ['activity', 'of', 'commercial', ['bought', 'where', ['goods', 'and', 'services'], 'are', 'and', 'sold']], '.']	['the', ['of', 'commercial', ['where', ['and', 'services', 'goods'], 'are', 'and', 'sold', 'bought'], 'activity'], '.', 'world']	[['the', 'world'], 'of', ['commercial', 'activity'], 'where', 'goods', 'and', 'services', 'are', 'bought', 'and', 'sold', '.']
mask	a covering to disguise or conceal the face.	['a', 'covering', 'to', 'disguise', 'or', 'conceal', 'the', 'face', '.']	['a', ['covering', ['to', ['disguise', 'or', 'conceal', ['the', 'face']]]], '.']	['covering', 'a', ['disguise', 'to', 'or', 'conceal', ['face', 'the']], '.']	['a', ['to', 'or', 'conceal', ['the', 'face'], 'disguise'], '.', 'covering']	[['a', 'covering'], 'to', 'disguise', 'or', 'conceal', ['the', 'face'], '.']
match	lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical.	['lighter', 'consisting', 'of', 'a', 'thin', 'piece', 'of', 'wood', 'or', 'cardboard', 'tipped', 'with', 'combustible', 'chemical', '.']	[['lighter', ['consisting', ['of', [['a', 'thin', 'piece'], ['of', ['wood', 'or', 'cardboard']]]]]], ['tipped', ['with', ['combustible', 'chemical']]], '.']	['tipped', ['lighter', ['consisting', ['piece', 'of', 'a', 'thin', ['wood', 'of', 'or', 'cardboard']]]], ['chemical', 'with', 'combustible'], '.']	[[[['of', 'a', 'thin', ['of', 'or', 'cardboard', 'wood'], 'piece'], 'consisting'], 'lighter'], ['with', 'combustible', 'chemical'], '.', 'tipped']	['lighter', 'consisting', 'of', ['a', 'thin', 'piece'], 'of', 'wood', 'or', 'cardboard', 'tipped', 'with', ['combustible', 'chemical'], '.']
meat	the flesh of animals (including fishes and birds and snails) used as food.	['the', 'flesh', 'of', 'animals', '(', 'including', 'fishes', 'and', 'birds', 'and', 'snails', ')', 'used', 'as', 'food', '.']	[[[['the', 'flesh'], ['of', 'animals']], ['-LRB-', ['including', ['fishes', 'and', ['birds', 'and', 'snails']]], '-RRB-']], ['used', ['as', 'food']], '.']	['flesh', 'the', ['animals', 'of', '-LRB-', ['fishes', 'including', 'and', ['birds', 'and', 'snails']], '-RRB-'], ['used', ['food', 'as']], '.']	['the', ['of', '-LRB-', ['including', 'and', ['and', 'snails', 'birds'], 'fishes'], '-RRB-', 'animals'], [['as', 'food'], 'used'], '.', 'flesh']	[['the', 'flesh'], 'of', 'animals', '(', 'including', 'fishes', 'and', 'birds', 'and', 'snails', ')', 'used', 'as', 'food', '.']
memorial	a recognition of meritorious service.	['a', 'recognition', 'of', 'meritorious', 'service', '.']	[['a', 'recognition'], ['of', ['meritorious', 'service']], '.']	['recognition', 'a', ['service', 'of', 'meritorious'], '.']	['a', ['of', 'meritorious', 'service'], '.', 'recognition']	[['a', 'recognition'], 'of', ['meritorious', 'service'], '.']
metal	any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.	['any', 'of', 'several', 'chemical', 'elements', 'that', 'are', 'usually', 'shiny', 'solids', 'that', 'conduct', 'heat', 'or', 'electricity', 'and', 'can', 'be', 'formed', 'into', 'sheets', 'etc', '.']	['any', ['of', [['several', 'chemical', 'elements'], ['that', ['are', 'usually', [['shiny', 'solids'], ['that', [['conduct', ['heat', 'or', 'electricity']], 'and', ['can', ['be', ['formed', ['into', 'sheets']]]], 'etc.']]]]]]], '.']	[['any', ['elements', 'of', 'several', 'chemical', ['solids', 'that', 'are', 'usually', 'shiny', ['conduct', 'that', ['heat', 'or', 'electricity'], 'and', ['formed', 'can', 'be', ['sheets', 'into', 'etc.']]]]], '.'], 'etc']	['etc', [['of', 'several', 'chemical', ['that', 'are', 'usually', 'shiny', ['that', ['or', 'electricity', 'heat'], 'and', ['can', 'be', ['into', 'etc.', 'sheets'], 'formed'], 'conduct'], 'solids'], 'elements'], '.', 'any']]	['any', 'of', ['several', 'chemical', 'elements'], 'that', 'are', 'usually', ['shiny', 'solids'], 'that', 'conduct', 'heat', 'or', 'electricity', 'and', 'can', 'be', 'formed', 'into', 'sheets', 'etc', '.']
metro	an electric railway operating below the surface of the ground (usually in a city).	['an', 'electric', 'railway', 'operating', 'below', 'the', 'surface', 'of', 'the', 'ground', '(', 'usually', 'in', 'a', 'city', ')', '.']	[['an', 'electric', 'railway', 'operating'], ['below', ['the', 'surface']], ['of', [['the', 'ground'], ['-LRB-', ['usually', 'in', ['a', 'city']], '-RRB-']]], '.']	['operating', 'an', 'electric', 'railway', ['surface', 'below', 'the', ['ground', 'of', 'the']], ['city', '-LRB-', 'usually', 'in', 'a', '-RRB-'], '.']	['an', 'electric', 'railway', ['below', 'the', ['of', 'the', 'ground'], 'surface'], ['-LRB-', 'usually', 'in', 'a', '-RRB-', 'city'], '.', 'operating']	[['an', 'electric', 'railway'], 'operating', 'below', ['the', 'surface'], 'of', ['the', 'ground'], '(', 'usually', 'in', ['a', 'city'], ')', '.']
military	the military forces of a nation.	['the', 'military', 'forces', 'of', 'a', 'nation', '.']	[['the', 'military', 'forces'], ['of', ['a', 'nation']], '.']	['forces', 'the', 'military', ['nation', 'of', 'a'], '.']	['the', 'military', ['of', 'a', 'nation'], '.', 'forces']	[['the', 'military', 'forces'], 'of', ['a', 'nation'], '.']
milk	a white nutritious liquid secreted by mammals and used as food by human beings.	['a', 'white', 'nutritious', 'liquid', 'secreted', 'by', 'mammals', 'and', 'used', 'as', 'food', 'by', 'human', 'beings', '.']	[[['a', 'white'], ['nutritious', 'liquid']], [['secreted', ['by', 'mammals']], 'and', ['used', ['as', 'food'], ['by', ['human', 'beings']]]], '.']	['liquid', 'a', 'white', 'nutritious', ['secreted', ['mammals', 'by'], 'and', ['used', ['food', 'as'], ['beings', 'by', 'human']]], '.']	['a', 'white', 'nutritious', [['by', 'mammals'], 'and', [['as', 'food'], ['by', 'human', 'beings'], 'used'], 'secreted'], '.', 'liquid']	[['a', 'white', 'nutritious', 'liquid'], 'secreted', 'by', 'mammals', 'and', 'used', 'as', 'food', 'by', ['human', 'beings'], '.']
mill	a plant consisting of one or more buildings with facilities for manufacturing.	['a', 'plant', 'consisting', 'of', 'one', 'or', 'more', 'buildings', 'with', 'facilities', 'for', 'manufacturing', '.']	[['a', 'plant'], ['consisting', ['of', [['one', 'or', 'more'], 'buildings']], ['with', ['facilities', ['for', 'manufacturing']]]], '.']	['plant', 'a', ['consisting', ['buildings', 'of', ['one', 'or', 'more']], ['facilities', 'with', ['manufacturing', 'for']]], '.']	['a', [['of', ['or', 'more', 'one'], 'buildings'], ['with', ['for', 'manufacturing'], 'facilities'], 'consisting'], '.', 'plant']	[['a', 'plant'], 'consisting', 'of', ['one', 'or', 'more', 'buildings'], 'with', 'facilities', 'for', 'manufacturing', '.']
miniature	painting or drawing included in a book (especially in illuminated medieval manuscripts).	['painting', 'or', 'drawing', 'included', 'in', 'a', 'book', '(', 'especially', 'in', 'illuminated', 'medieval', 'manuscripts', ')', '.']	[['painting', 'or', 'drawing'], ['included', ['in', [['a', 'book'], ['-LRB-', ['especially', 'in', ['illuminated', ['medieval', 'manuscripts']]], '-RRB-']]]], '.']	['included', ['painting', 'or', 'drawing'], ['book', 'in', 'a', ['manuscripts', '-LRB-', 'especially', 'in', 'illuminated', 'medieval', '-RRB-']], '.']	[['or', 'drawing', 'painting'], ['in', 'a', ['-LRB-', 'especially', 'in', 'illuminated', 'medieval', '-RRB-', 'manuscripts'], 'book'], '.', 'included']	['painting', 'or', 'drawing', 'included', 'in', ['a', 'book'], '(', 'especially', 'in', ['illuminated', 'medieval', 'manuscripts'], ')', '.']
mirror	polished surface that forms images by reflecting light.	['polished', 'surface', 'that', 'forms', 'images', 'by', 'reflecting', 'light', '.']	[['polished', 'surface'], 'that', ['forms', 'images', ['by', ['reflecting', 'light']]], '.']	['surface', 'polished', ['forms', 'that', 'images', ['reflecting', 'by', 'light']], '.']	['polished', ['that', 'images', ['by', 'light', 'reflecting'], 'forms'], '.', 'surface']	[['polished', 'surface'], 'that', 'forms', 'images', 'by', 'reflecting', 'light', '.']
mist	a thin fog with condensation near the ground.	['a', 'thin', 'fog', 'with', 'condensation', 'near', 'the', 'ground', '.']	[['a', 'thin', 'fog'], ['with', 'condensation'], ['near', ['the', 'ground']], '.']	['fog', 'a', 'thin', ['condensation', 'with'], ['ground', 'near', 'the'], '.']	['a', 'thin', ['with', 'condensation'], ['near', 'the', 'ground'], '.', 'fog']	[['a', 'thin', 'fog'], 'with', 'condensation', 'near', ['the', 'ground'], '.']
misty	filled or abounding with fog or mist.	['filled', 'or', 'abounding', 'with', 'fog', 'or', 'mist', '.']	[['filled', 'or', ['abounding', ['with', ['fog', 'or', 'mist']]]], '.']	['filled', 'or', ['abounding', ['fog', 'with', 'or', 'mist']], '.']	['or', [['with', 'or', 'mist', 'fog'], 'abounding'], '.', 'filled']	['filled', 'or', 'abounding', 'with', 'fog', 'or', 'mist', '.']
model	a hypothetical description of a complex entity or process.	['a', 'hypothetical', 'description', 'of', 'a', 'complex', 'entity', 'or', 'process', '.']	[['a', 'hypothetical', 'description'], ['of', ['a', 'complex', 'entity', 'or', 'process']], '.']	['description', 'a', 'hypothetical', ['entity', 'of', 'a', 'complex', 'or', 'process'], '.']	['a', 'hypothetical', ['of', 'a', 'complex', 'or', 'process', 'entity'], '.', 'description']	[['a', 'hypothetical', 'description'], 'of', ['a', 'complex', 'entity'], 'or', 'process', '.']
mom	informal terms for a mother.	['informal', 'terms', 'for', 'a', 'mother', '.']	[['informal', 'terms'], ['for', ['a', 'mother']], '.']	['terms', 'informal', ['mother', 'for', 'a'], '.']	['informal', ['for', 'a', 'mother'], '.', 'terms']	[['informal', 'terms'], 'for', ['a', 'mother'], '.']
monkey	any of various long-tailed primates (excluding the prosimians).	['any', 'of', 'various', 'long-tailed', 'primates', '(', 'excluding', 'the', 'prosimians', ')', '.']	['any', ['of', [['various', 'long-tailed', 'primates'], ['-LRB-', ['excluding', ['the', 'prosimians']], '-RRB-']]], '.']	['any', ['primates', 'of', 'various', 'long-tailed', ['prosimians', '-LRB-', 'excluding', 'the', '-RRB-']], '.']	[['of', 'various', 'long-tailed', ['-LRB-', 'excluding', 'the', '-RRB-', 'prosimians'], 'primates'], '.', 'any']	['any', 'of', ['various', 'long', '-', 'tailed', 'primates'], '(', 'excluding', ['the', 'prosimians'], ')', '.']
monster	an imaginary creature usually having various human and animal parts.	['an', 'imaginary', 'creature', 'usually', 'having', 'various', 'human', 'and', 'animal', 'parts', '.']	[['an', 'imaginary', 'creature'], ['usually', 'having', ['various', 'human', 'and', 'animal', 'parts']], '.']	['creature', 'an', 'imaginary', ['having', 'usually', ['parts', 'various', ['human', 'and', 'animal']]], '.']	['an', 'imaginary', ['usually', ['various', ['and', 'animal', 'human'], 'parts'], 'having'], '.', 'creature']	[['an', 'imaginary', 'creature'], 'usually', 'having', ['various', 'human', 'and', 'animal', 'parts'], '.']
monument	a structure erected to commemorate persons or events.	['a', 'structure', 'erected', 'to', 'commemorate', 'persons', 'or', 'events', '.']	[['a', 'structure'], ['erected', ['to', ['commemorate', ['persons', 'or', 'events']]]], '.']	['erected', ['structure', 'a'], ['commemorate', 'to', ['persons', 'or', 'events']], '.']	[['a', 'structure'], ['to', ['or', 'events', 'persons'], 'commemorate'], '.', 'erected']	[['a', 'structure'], 'erected', 'to', 'commemorate', 'persons', 'or', 'events', '.']
moon	the natural satellite of the Earth.	['the', 'natural', 'satellite', 'of', 'the', 'Earth', '.']	[['the', 'natural', 'satellite'], ['of', ['the', 'Earth']], '.']	['satellite', 'the', 'natural', ['Earth', 'of', 'the'], '.']	['the', 'natural', ['of', 'the', 'Earth'], '.', 'satellite']	[['the', 'natural', 'satellite'], 'of', ['the', 'Earth'], '.']
morning	the time period between dawn and noon.	['the', 'time', 'period', 'between', 'dawn', 'and', 'noon', '.']	[['the', 'time', 'period'], ['between', ['dawn', 'and', 'noon']], '.']	['period', 'the', 'time', ['dawn', 'between', 'and', 'noon'], '.']	['the', 'time', ['between', 'and', 'noon', 'dawn'], '.', 'period']	[['the', 'time', 'period'], 'between', 'dawn', 'and', 'noon', '.']
moss	tiny leafy-stemmed flowerless plants.	['tiny', 'leafy-stemmed', 'flowerless', 'plants', '.']	['tiny', ['leafy-stemmed', 'flowerless', 'plants'], '.']	['plants', 'tiny', 'leafy-stemmed', 'flowerless', '.']	['tiny', 'leafy-stemmed', 'flowerless', '.', 'plants']	[['tiny', 'leafy', '-', 'stemmed', 'flowerless', 'plants'], '.']
mother	a woman who has given birth to a child (also used as a term of address to your mother).	['a', 'woman', 'who', 'has', 'given', 'birth', 'to', 'a', 'child', '(', 'also', 'used', 'as', 'a', 'term', 'of', 'address', 'to', 'your', 'mother', ')', '.']	['a', 'woman', ['who', ['has', ['given', 'birth', ['to', [['a', 'child'], ['-LRB-', ['also', 'used', ['as', [['a', 'term'], ['of', 'address']]], ['to', ['your', 'mother']]], '-RRB-']]]]]], '.']	['used', ['woman', 'a', ['given', 'who', 'has', 'birth', ['child', 'to', 'a']]], '-LRB-', 'also', ['term', 'as', 'a', ['address', 'of']], ['mother', 'to', 'your'], '-RRB-', '.']	[['a', ['who', 'has', 'birth', ['to', 'a', 'child'], 'given'], 'woman'], '-LRB-', 'also', ['as', 'a', ['of', 'address'], 'term'], ['to', 'your', 'mother'], '-RRB-', '.', 'used']	[['a', 'woman'], 'who', 'has', 'given', 'birth', 'to', ['a', 'child'], '(', 'also', 'used', 'as', ['a', 'term'], 'of', 'address', 'to', ['your', 'mother'], ')', '.']
motor	machine that converts other forms of energy into mechanical energy and so imparts motion.	['machine', 'that', 'converts', 'other', 'forms', 'of', 'energy', 'into', 'mechanical', 'energy', 'and', 'so', 'imparts', 'motion', '.']	[['machine', ['that', ['converts', [['other', 'forms'], ['of', ['energy', [['into', ['mechanical', 'energy']], 'and', 'so']]]]]]], ['imparts', 'motion'], '.']	['machine', ['converts', 'that', ['forms', 'other', ['energy', 'of']], ['energy', 'into', 'mechanical'], 'and', ['imparts', 'so', 'motion']], '.']	[['that', ['other', ['of', 'energy'], 'forms'], ['into', 'mechanical', 'energy'], 'and', ['so', 'motion', 'imparts'], 'converts'], '.', 'machine']	['machine', 'that', 'converts', ['other', 'forms'], 'of', 'energy', 'into', ['mechanical', 'energy'], 'and', ['so', 'imparts', 'motion'], '.']
motorcycle	a motor vehicle with two wheels and a strong frame.	['a', 'motor', 'vehicle', 'with', 'two', 'wheels', 'and', 'a', 'strong', 'frame', '.']	[['a', 'motor', 'vehicle'], ['with', [['two', 'wheels'], 'and', ['a', 'strong', 'frame']]], '.']	['vehicle', 'a', 'motor', ['wheels', 'with', 'two', 'and', ['frame', 'a', 'strong']], '.']	['a', 'motor', ['with', 'two', 'and', ['a', 'strong', 'frame'], 'wheels'], '.', 'vehicle']	[['a', 'motor', 'vehicle'], 'with', ['two', 'wheels'], 'and', ['a', 'strong', 'frame'], '.']
